date,Order_ID,Company,Company_Region,Product_ID,Product,Customer_ID,Product Category01,Product Category02,Product Category03,Quantity,unit,price_per_case
1/1/2021,6141309,121,South,11829,AVO32CNV2,DMKUT,32.0,CNV,#2,224,case,41.0
1/1/2021,6377268,131,North,11541,AVO60CNV1,QPDXK,60.0,CNV,1,396,case,46.0
1/1/2021,6377268,131,North,11931,AVO48CNV1,QPDXK,,CNV,1,148,case,45.0
1/1/2021,6191867,121,South,11829,AVO32CNV2,IEHDJ,32.0,CNV,#2,150,case,41.0
1/1/2021,6191867,121,South,11385,AVO48CNV2,IEHDJ,48.0,CNV,#2,294,case,49.0
1/1/2021,6377268,131,North,11829,AVO32CNV2,QPDXK,32.0,CNV,#2,145,case,41.0
1/1/2021,6141309,121,South,11931,AVO48CNV1,DMKUT,,CNV,1,630,case,45.0
1/1/2021,6191867,121,South,11133,AVO60CNV2,IEHDJ,60.0,CNV,#2,158,case,46.0
1/2/2021,6223502,121,South,11385,AVO48CNV2,IEHDJ,48.0,CNV,#2,265,case,42.0
1/2/2021,6223502,121,South,11133,AVO60CNV2,IEHDJ,60.0,CNV,#2,190,case,46.0
1/2/2021,6734039,131,North,11829,AVO32CNV2,QPDXK,32.0,CNV,#2,57,case,48.0
1/2/2021,6734039,131,North,11931,AVO48CNV1,QPDXK,,CNV,1,140,case,42.0
1/2/2021,6734039,131,North,11541,AVO60CNV1,QPDXK,60.0,CNV,1,277,case,48.0
1/2/2021,6722757,121,South,11931,AVO48CNV1,DMKUT,,CNV,1,705,case,42.0
1/3/2021,6568928,131,North,11829,AVO32CNV2,QPDXK,32.0,CNV,#2,117,case,49.0
1/3/2021,6568928,131,North,11931,AVO48CNV1,QPDXK,,CNV,1,424,case,41.0
1/3/2021,6568928,131,North,11541,AVO60CNV1,QPDXK,60.0,CNV,1,201,case,40.0
1/3/2021,6254235,121,South,11385,AVO48CNV2,IEHDJ,,,,209,case,39.0
